questions,reference,query
Tampilkan semua data tugas belajar.,SELECT * FROM tugas_belajar,"SELECT id, id_pegawai, tanggal_mulai, tanggal_selesai, lama_hari, jenis_tubel, nomor_sk, perguruan_tinggi, pembiayaan, status FROM tugas_belajar"
Tampilkan pegawai yang sedang mengikuti tugas belajar aktif.,"SELECT p.nip, p.nama FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = ""berlangsung""","SELECT p.nip, p.nama, tb.perguruan_tinggi, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = ""berlangsung"""
Tampilkan pegawai yang tugas belajarnya selesai dalam 30 hari terakhir.,"SELECT p.nip, p.nama, tb.tanggal_selesai FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = 'selesai' AND tb.tanggal_selesai >= DATE_SUB(NOW(), INTERVAL 30 DAY)","SELECT   p.nip,   p.nama,   tb.tanggal_mulai,   tb.tanggal_selesai FROM   pegawai AS p JOIN   tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE   tb.status = 'selesai' AND tb.tanggal_selesai >= DATE_SUB(NOW(), INTERVAL 30 DAY)"
Tampilkan pegawai tugas belajar di dalam negeri.,"SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.lokasi = 'dalam negeri'","SELECT p.nip, p.nama, c.tanggal_mulai, c.lama_hari, tb.perguruan_tinggi, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.alasan LIKE '%Dalam Negeri%'"
Tampilkan pegawai tugas belajar di luar negeri.,"SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.lokasi = 'luar negeri'","SELECT p.nip, p.nama, tb.perguruan_tinggi, tb.negara FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.negara <> 'Indonesia'"
Tampilkan pegawai tugas belajar dengan pembiayaan mandiri.,"SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.pembiayaan = 'mandiri'","SELECT p.nip, p.nama, tb.perguruan_tinggi, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = 'berlangsung' AND tb.pembiayaan = 'Mandiri'"
Tampilkan pegawai tugas belajar dengan beasiswa.,"SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.pembiayaan = 'beasiswa'","SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai p JOIN tugas_belajar tb ON p.id = tb.id_pegawai WHERE tb.pembiayaan = 'Beasiswa'"
Tampilkan pegawai yang mengikuti tugas belajar di UGM.,"SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.perguruan_tinggi = 'UGM'","SELECT p.nip, p.nama, tb.perguruan_tinggi FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.perguruan_tinggi = ""UGM"""
Tampilkan pegawai yang mengikuti tugas belajar di Institut Teknologi Bandung.,"SELECT p.nip, p.nama, tb.pembiayaan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.perguruan_tinggi = 'Institut Teknologi Bandung'","SELECT p.nip, p.nama, p.jabatan, tb.perguruan_tinggi, tb.tanggal_mulai, tb.tanggal_selesai, tb.lama_hari FROM pegawai p JOIN tugas_belajar tb ON p.id = tb.id_pegawai WHERE tb.perguruan_tinggi = 'Institut Teknologi Bandung'"
Tampilkan tugas belajar yang memiliki lama hari lebih dari 1 tahun.,SELECT * FROM tugas_belajar WHERE lama_hari > 365,"SELECT p.nip, p.nama, tb.tanggal_mulai, tb.tanggal_selesai, tb.lama_hari FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.lama_hari > 365 ORDER BY tb.tanggal_mulai DESC"
Tampilkan pegawai yang mengikuti tugas belajar dengan nomor SK SK/2023/11/09/TUBEL/24,"SELECT p.nip, p.nama, tb.nomor_sk FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.nomor_sk = 'SK/2023/11/09/TUBEL/24'","SELECT   p.nip,   p.nama,   p.jabatan,   tb.nomor_sk FROM   pegawai AS p JOIN   tugas_belajar AS tb ON   p.id = tb.id_pegawai WHERE   tb.nomor_sk = 'SK/2023/11/09/TUBEL/24'"
Tampilkan data tugas belajar berdasarkan tanggal mulai dan selesai.,"SELECT tanggal_mulai, tanggal_selesai FROM tugas_belajar","SELECT p.nip, p.nama, tb.tanggal_mulai, tb.tanggal_selesai FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai ORDER BY tb.tanggal_mulai ASC, tb.tanggal_selesai DESC"
Tampilkan nama dan jabatan pegawai yang sedang mengambil cuti.,"SELECT p.nama, p.jabatan FROM pegawai p JOIN cuti c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung'","SELECT p.nama, p.jabatan FROM pegawai p JOIN cuti c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung'"
Tampilkan nama pegawai dan alasannya bagi pegawai yang sedang cuti .,"SELECT p.nama, c.alasan FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung'","SELECT p.nama, c.alasan FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung'"
Tampilkan data pegawai yang belum pernah hadir dalam sebulan terakhir.,"SELECT p.nip, p.nama FROM pegawai AS p LEFT JOIN kehadiran AS k ON p.id = k.id_pegawai AND k.tanggal >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) WHERE k.id IS NULL","SELECT   p.id,   p.nip,   p.nama FROM   pegawai AS p LEFT JOIN   kehadiran AS k ON p.id = k.id_pegawai AND k.tanggal >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) WHERE   k.id IS NULL"
Tampilkan nama pegawai dan beserta nama perguruan tingginya bagi pegawai yang tugas belajar masih berlangsung .,"SELECT p.nama, tb.perguruan_tinggi FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = 'berlangsung'","SELECT p.nama AS Nama_Pegawai, tb.perguruan_tinggi AS Perguruan_Tinggi FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = 'berlangsung'"
Tampilkan nama pegawai yang memiliki gaji pokok lebih dari Rp10.000.000 dan sedang cuti.,SELECT nama FROM pegawai WHERE gaji_pokok > 10000000,SELECT p.nama FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung' AND p.gaji_pokok > 10000000
Tampilkan pegawai dengan status terlambat dalam tabel kehadiran.,"SELECT pegawai.nip, pegawai.nama, kehadiran.waktu FROM kehadiran INNER JOIN pegawai ON pegawai.id = kehadiran.id_pegawai WHERE kehadiran.status = 'telat'","SELECT pegawai.nip, pegawai.nama, kehadiran.waktu FROM kehadiran INNER JOIN pegawai ON pegawai.id = kehadiran.id_pegawai WHERE kehadiran.tanggal = CURDATE() AND kehadiran.status = 'telat'"
Tampilkan data pegawai dengan jabatan administrator yang sedang mengambil tugas belajar.,"SELECT p.nip, p.nama, p.jabatan FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE p.jabatan = 'administrator' AND tb.status = 'berlangsung'","SELECT p.nip, p.nama, p.jabatan, tb.nomor_sk, tb.perguruan_tinggi FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE p.jabatan = 'administrator' AND tb.status = 'berlangsung'"
Tampilkan nama pegawai dan lokasi tugas belajar yang mereka ikuti.,"SELECT p.nip, p.nama, tb.perguruan_tinggi FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai","SELECT p.nip, p.nama, tb.perguruan_tinggi AS lokasi_tugas_belajar FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai WHERE tb.status = 'berlangsung'"
Tampilkan pegawai dengan kehadiran tepat waktu.,"SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.status = 'tepat waktu'","SELECT   p.nip,   p.nama,   k.waktu FROM   pegawai AS p JOIN   kehadiran AS k ON p.id = k.id_pegawai WHERE   k.tanggal = CURDATE() AND k.status = 'tepat waktu'"
Kelompokkan data pegawai berdasarkan umur,"SELECT CASE WHEN TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) < 30 THEN 'Di bawah 30 tahun' WHEN TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) BETWEEN 30 AND 39 THEN '30-39 tahun' WHEN TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) BETWEEN 40 AND 49 THEN '40-49 tahun' ELSE '50 tahun ke atas' END AS kategori_umur, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY kategori_umur","SELECT   CASE   WHEN TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) < 30 THEN 'Di bawah 30 tahun'   WHEN TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) BETWEEN 30 AND 39 THEN '30-39 tahun'   WHEN TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) BETWEEN 40 AND 49 THEN '40-49 tahun'   ELSE '50 tahun ke atas'   END AS kategori_umur,   COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY kategori_umur"
Kelompokkan data pegawai berdasarkan pendidikan,"SELECT pendidikan, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY pendidikan","SELECT   pendidikan,   COUNT(*) AS jumlah_pegawai FROM   pegawai GROUP BY   pendidikan ORDER BY   pendidikan ASC"
Kelompokkan data pegawai berdasarkan status pernikahan,"SELECT status_pernikahan, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY status_pernikahan","SELECT status_pernikahan, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY status_pernikahan ORDER BY jumlah_pegawai DESC "
Kelompokkan jumlah pegawai berdasarkan lokasi tugas belajar,"SELECT lokasi, COUNT(*) AS jumlah_pegawai FROM tugas_belajar GROUP BY lokasi","SELECT   tb.lokasi,   COUNT(*) AS jumlah_pegawai FROM   tugas_belajar AS tb JOIN   pegawai AS p ON tb.id_pegawai = p.id GROUP BY   tb.lokasi ORDER BY   jumlah_pegawai DESC"
Kelompokkan jumlah pegawai berdasarkan alasan cuti,"SELECT alasan, COUNT(*) AS jumlah_pegawai FROM cuti GROUP BY alasan","SELECT c.alasan, COUNT(DISTINCT c.id_pegawai) AS jumlah_pegawai FROM cuti c GROUP BY c.alasan"
tampilkan data umur pegawai dan di urut dari yang tertua,"SELECT nip, nama, tanggal_lahir, TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) AS umur FROM pegawai ORDER BY umur DESC","SELECT nip, nama, tanggal_lahir, TIMESTAMPDIFF(YEAR, tanggal_lahir, CURDATE()) AS umur FROM pegawai ORDER BY umur DESC"
tampilkan total pegawai yang terdaftar dalam sistem,SELECT COUNT(*) as total_pegawai FROM pegawai,SELECT COUNT(*) AS total_pegawai FROM pegawai
Tampilkan pegawai berjenis kelamin perempuan,SELECT * FROM pegawai WHERE jenis_kelamin = 'Perempuan',"SELECT nip, nama FROM pegawai WHERE jenis_kelamin = ""Perempuan"""
Tampilkan jumlah pegawai per jenis kelamin?,"SELECT jenis_kelamin, COUNT(*) as jumlah FROM pegawai GROUP BY jenis_kelamin","SELECT jenis_kelamin, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY jenis_kelamin ORDER BY jumlah_pegawai DESC"
Tampilkan daftar pegawai dengan gaji tertinggi (top 10),"SELECT nama, jabatan, gaji_pokok, tunjangan_kinerjaFROM pegawai ORDER BY gaji_pokok DESC LIMIT 10","SELECT nip, nama, gaji_pokok FROM pegawai ORDER BY gaji_pokok DESC LIMIT 10"
Tampilkan rata-rata gaji pokok pegawai per grade,"SELECT grade, AVG(gaji_pokok) as rata_rata_gajiFROM pegawaiGROUP BY gradeORDER BY grade","SELECT grade, AVG(gaji_pokok) AS rata_rata_gaji_pokok FROM pegawai GROUP BY grade ORDER BY grade"
Tampilkan total pengajuan cuti tahun ini,SELECT COUNT(*) as total_cuti FROM cuti WHERE YEAR(tanggal_mulai) = YEAR(CURRENT_DATE),SELECT COUNT(*) AS total_pengajuan_cuti FROM cuti WHERE YEAR(tanggal_mulai) = YEAR(NOW())
Tampilkan siapa saja pegawai yang sedang cuti saat ini,"SELECT p.nama, c.tanggal_mulai, c.tanggal_selesai, c.alasanFROM cuti cJOIN pegawai p ON c.id_pegawai = p.idWHERE CURRENT_DATE BETWEEN c.tanggal_mulai AND c.tanggal_selesai","SELECT p.nip, p.nama FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = ""berlangsung"""
Tampilkan rata-rata lama cuti yang diambil pegawai,"SELECT p.nama, AVG(c.lama_hari) as rata_rata_cutiFROM cuti cJOIN pegawai p ON c.id_pegawai = p.idGROUP BY p.id, p.nama",SELECT AVG(c.lama_hari) AS rata_rata_lama_cuti FROM cuti AS c JOIN pegawai AS p ON c.id_pegawai = p.id
Tampilkan pegawai yang paling sering mengambil cuti,"SELECT p.nama, COUNT(*) as jumlah_cutiFROM cuti cJOIN pegawai p ON c.id_pegawai = p.idGROUP BY p.id, p.namaORDER BY jumlah_cuti DESC","SELECT p.nip, p.nama, COUNT(c.id) AS jumlah_cuti FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai GROUP BY p.nip, p.nama ORDER BY jumlah_cuti DESC LIMIT 1"
Berapa persentase cuti yang disetujui vs ditolak?,"SELECT status, COUNT(*) as jumlah, ROUND(COUNT(*) * 100.0 / (SELECT COUNT(*) FROM cuti), 2) as persentaseFROM cutiGROUP BY status","SELECT CASE WHEN status = 'disetujui' THEN 'Disetujui' ELSE 'Ditolak' END AS status_cuti, COUNT(*) AS jumlah_cuti FROM cuti GROUP BY status_cuti"
Tampilkan rekap kehadiran per pegawai bulan ini,"SELECT p.nama, COUNT(CASE WHEN k.status = 'Hadir' THEN 1 END) as jumlah_hadir, COUNT(CASE WHEN k.status = 'Tidak Hadir' THEN 1 END) as jumlah_tidak_hadirFROM pegawai pLEFT JOIN kehadiran k ON p.id = k.id_pegawaiWHERE MONTH(k.tanggal) = MONTH(CURRENT_DATE)GROUP BY p.id, p.nama","SELECT p.nip,   p.nama,   COUNT(k.status) AS jumlah_hadir FROM   pegawai AS p LEFT JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE   k.tanggal >= DATE_FORMAT(NOW(), '%Y-%m-01') GROUP BY p.nip, p.nama ORDER BY p.nip, p.nama"
Siapa saja pegawai yang terlambat lebih dari 5 kali bulan ini?,"SELECT p.nama, COUNT(*) as jumlah_terlambatFROM kehadiran kJOIN pegawai p ON k.id_pegawai = p.idWHERE MONTH(k.tanggal) = MONTH(CURRENT_DATE)AND k.status = 'Terlambat'GROUP BY p.id, p.namaHAVING COUNT(*) > 5","SELECT   p.nip,   p.nama,   COUNT(k.id) AS keterlambatan FROM   pegawai AS p JOIN   kehadiran AS k ON   p.id = k.id_pegawai WHERE   k.tanggal >= CURDATE() - INTERVAL 1 MONTH   AND k.status > 'terlambat' GROUP BY   p.nip, p.nama HAVING   keterlambatan >= 5 ORDER BY   keterlambatan DESC"
Tampilkan pegawai dengan tingkat kehadiran tertinggi,"SELECT p.nama, COUNT(*) as total_hari, COUNT(CASE WHEN k.status = 'Hadir' THEN 1 END) as hari_hadir, ROUND(COUNT(CASE WHEN k.status = 'Hadir' THEN 1 END) * 100.0 / COUNT(*), 2) as persentase_kehadiranFROM pegawai pLEFT JOIN kehadiran k ON p.id = k.id_pegawaiGROUP BY p.id, p.namaORDER BY persentase_kehadiran DESC","SELECT  nip,  nama,  COUNT(*) AS jumlah_kehadiran FROM  pegawai p JOIN  kehadiran k ON p.id = k.id_pegawai WHERE  k.tanggal BETWEEN DATE_SUB(NOW(), INTERVAL 1 MONTH) AND NOW() GROUP BY  nip, nama ORDER BY  jumlah_kehadiran DESC LIMIT  1"
Tampilkan distribusi pegawai tugas belajar berdasarkan perguruan tinggi,"SELECT perguruan_tinggi, COUNT(*) as jumlah_pegawaiFROM tugas_belajarGROUP BY perguruan_tinggiORDER BY jumlah_pegawai DESC","SELECT tb.perguruan_tinggi, COUNT(DISTINCT p.nip) AS jumlah_pegawai FROM pegawai AS p JOIN tugas_belajar AS tb ON p.id = tb.id_pegawai GROUP BY tb.perguruan_tinggi ORDER BY jumlah_pegawai DESC"
Berapa total biaya yang dikeluarkan untuk pembiayaan tugas belajar?,"SELECT pembiayaan, COUNT(*) as jumlah_pegawai, SUM(lama_hari) as total_hariFROM tugas_belajarGROUP BY pembiayaan",SELECT SUM(tb.pembiayaan) AS total_biaya FROM tugas_belajar AS tb
Tampilkan rata-rata durasi tugas belajar per perguruan tinggi,"SELECT perguruan_tinggi, AVG(lama_hari) as rata_rata_durasiFROM tugas_belajarGROUP BY perguruan_tinggiORDER BY rata_rata_durasi DESC","SELECT perguruan_tinggi, AVG(lama_hari) AS rata_rata_durasi_tugas_belajar FROM tugas_belajar GROUP BY perguruan_tinggi ORDER BY perguruan_tinggi "
Berapa total pengeluaran untuk gaji dan tunjangan per bulan?,"SELECT SUM(gaji_pokok) as total_gaji, SUM(tunjangan_kinerja) as total_tunjangan, SUM(gaji_pokok + tunjangan_kinerja) as total_kompensasiFROM pegawai","SELECT SUM(p.gaji_pokok) AS total_gaji_pokok, SUM(p.tunjangan_kinerja) AS total_tunjangan_kinerja FROM pegawai AS p"
